Fecha;Nivel de agua;Temperatura de agua;Conductividad Eléctrica;Nivel de bateria
2024-01-11 0:00:00;0,134;6,09;104,1;12,9
2024-01-11 0:05:00;0,134;6,082;104,2;12,69
2024-01-11 0:10:00;0,134;6,071;104,2;12,89
2024-01-11 0:15:00;0,134;6,065;104,1;12,9
2024-01-11 0:20:00;0,134;6,053;104,2;12,9
2024-01-11 0:25:00;0,134;6,045;104,2;12,89
2024-01-11 0:30:00;0,134;6,04;104,2;12,89
2024-01-11 0:35:00;0,134;6,03;104,2;12,89
2024-01-11 0:40:00;0,134;6,014;104,2;12,89
2024-01-11 0:45:00;0,134;6;104,2;12,89
2024-01-11 0:50:00;0,134;5,994;104,1;12,89
2024-01-11 0:55:00;0,134;5,988;104,1;12,89
2024-01-11 1:00:00;0,134;5,985;104,1;12,88
2024-01-11 1:05:00;0,134;5,985;104;12,87
2024-01-11 1:10:00;0,134;5,984;104;12,88
2024-01-11 1:15:00;0,134;5,983;104,1;12,66
2024-01-11 1:20:00;0,134;5,976;104;12,88
2024-01-11 1:25:00;0,134;5,968;104;12,88
2024-01-11 1:30:00;0,134;5,954;104;12,87
2024-01-11 1:35:00;0,134;5,946;104;12,87
2024-01-11 1:40:00;0,134;5,944;104;12,88
2024-01-11 1:45:00;0,134;5,941;104;12,88
2024-01-11 1:50:00;0,134;5,938;104;12,87
2024-01-11 1:55:00;0,135;5,933;104;12,87
2024-01-11 2:00:00;0,134;5,929;104;12,87
2024-01-11 2:05:00;0,134;5,92;104;12,86
2024-01-11 2:10:00;0,135;5,907;103,9;12,87
2024-01-11 2:15:00;0,135;5,897;104;12,87
2024-01-11 2:20:00;0,135;5,89;103,9;12,87
2024-01-11 2:25:00;0,135;5,879;104;12,86
2024-01-11 2:30:00;0,135;5,866;104;12,86
2024-01-11 2:35:00;0,135;5,856;104;12,86
2024-01-11 2:40:00;0,135;5,846;103,9;12,86
2024-01-11 2:45:00;0,135;5,84;103,9;12,86
2024-01-11 2:50:00;0,135;5,838;103,9;12,86
2024-01-11 2:55:00;0,135;5,833;103,9;12,85
2024-01-11 3:00:00;0,135;5,825;103,9;12,85
2024-01-11 3:05:00;0,135;5,813;103,9;12,84
2024-01-11 3:10:00;0,135;5,802;103,9;12,84
2024-01-11 3:15:00;0,135;5,79;103,9;12,85
2024-01-11 3:20:00;0,134;5,778;103,9;12,84
2024-01-11 3:25:00;0,135;5,765;103,9;12,84
2024-01-11 3:30:00;0,135;5,757;103,9;12,83
2024-01-11 3:35:00;0,135;5,752;103,9;12,83
2024-01-11 3:40:00;0,135;5,746;103,9;12,63
2024-01-11 3:45:00;0,135;5,737;103,9;12,62
2024-01-11 3:50:00;0,135;5,735;103,9;12,83
2024-01-11 3:55:00;0,135;5,736;103,9;12,83
2024-01-11 4:00:00;0,134;5,737;103,9;12,82
2024-01-11 4:05:00;0,135;5,74;103,9;12,61
2024-01-11 4:10:00;0,135;5,739;103,9;12,78
2024-01-11 4:15:00;0,135;5,736;103,9;12,82
2024-01-11 4:20:00;0,135;5,733;103,9;12,82
2024-01-11 4:25:00;0,135;5,729;103,8;12,81
2024-01-11 4:30:00;0,135;5,724;103,9;12,81
2024-01-11 4:35:00;0,135;5,721;103,8;12,81
2024-01-11 4:40:00;0,135;5,719;103,8;12,82
2024-01-11 4:45:00;0,135;5,718;103,9;12,81
2024-01-11 4:50:00;0,135;5,716;103,9;12,81
2024-01-11 4:55:00;0,135;5,715;103,9;12,81
2024-01-11 5:00:00;0,135;5,712;103,8;12,8
2024-01-11 5:05:00;0,135;5,709;103,8;12,79
2024-01-11 5:10:00;0,135;5,702;103,8;12,8
2024-01-11 5:15:00;0,134;5,693;103,8;12,8
2024-01-11 5:20:00;0,135;5,684;103,8;12,8
2024-01-11 5:25:00;0,135;5,68;103,9;12,8
2024-01-11 5:30:00;0,135;5,674;103,8;12,79
2024-01-11 5:35:00;0,135;5,67;103,9;12,79
2024-01-11 5:40:00;0,135;5,672;103,8;12,79
2024-01-11 5:45:00;0,135;5,675;103,8;12,79
2024-01-11 5:50:00;0,135;5,677;103,8;12,79
2024-01-11 5:55:00;0,135;5,676;103,8;12,79
2024-01-11 6:00:00;0,135;5,676;103,9;12,78
2024-01-11 6:05:00;0,135;5,677;103,9;12,77
2024-01-11 6:10:00;0,135;5,675;103,9;12,54
2024-01-11 6:15:00;0,135;5,674;103,9;12,77
2024-01-11 6:20:00;0,135;5,674;103,9;12,56
2024-01-11 6:25:00;0,135;5,676;103,9;12,77
2024-01-11 6:30:00;0,135;5,68;103,9;12,78
2024-01-11 6:35:00;0,135;5,681;103,9;12,78
2024-01-11 6:40:00;0,135;5,677;103,8;12,8
2024-01-11 6:45:00;0,135;5,669;103,8;12,82
2024-01-11 6:50:00;0,135;5,664;103,9;12,84
2024-01-11 6:55:00;0,135;5,666;103,8;12,88
2024-01-11 7:00:00;0,135;5,672;103,8;12,9
2024-01-11 7:05:00;0,135;5,678;103,8;12,95
2024-01-11 7:10:00;0,135;5,686;103,7;13,01
2024-01-11 7:15:00;0,135;5,685;103,7;13,11
2024-01-11 7:20:00;0,135;5,678;103,6;13,23
2024-01-11 7:25:00;0,135;5,678;103,6;13,5
2024-01-11 7:30:00;0,135;5,685;103,6;13,7
2024-01-11 7:35:00;0,135;5,699;103,6;13,92
2024-01-11 7:40:00;0,135;5,712;103,5;13,99
2024-01-11 7:45:00;0,135;5,727;103,5;13,92
2024-01-11 7:50:00;0,135;5,739;103,4;14,01
2024-01-11 7:55:00;0,135;5,757;103,4;14,36
2024-01-11 8:00:00;0,135;5,777;103,4;14,3
2024-01-11 8:05:00;0,135;5,791;103,3;14,05
2024-01-11 8:10:00;0,134;5,805;103,3;14,36
2024-01-11 8:15:00;0,135;5,833;103,2;14,37
2024-01-11 8:20:00;0,135;5,862;103,2;14,31
2024-01-11 8:25:00;0,135;5,87;103,1;14,12
2024-01-11 8:30:00;0,135;5,866;103,1;14,37
2024-01-11 8:35:00;0,135;5,872;103,2;14,37
2024-01-11 8:40:00;0,135;5,874;103,2;14,38
2024-01-11 8:45:00;0,135;5,885;103,2;14,38
2024-01-11 8:50:00;0,135;5,91;103,1;14,39
2024-01-11 8:55:00;0,135;5,934;103,1;14,37
2024-01-11 9:00:00;0,135;5,967;103;14,37
2024-01-11 9:05:00;0,135;5,996;103;14,37
2024-01-11 9:10:00;0,134;6,031;102,9;14,37
2024-01-11 9:15:00;0,135;6,061;102,9;14,37
