fecha,valor,maximo,minimo
2024-01-11 00:00:00,6.090000,6.093000,6.087000
2024-01-11 00:05:00,6.082000,6.088000,6.075000
2024-01-11 00:10:00,6.071000,6.077000,6.067000
2024-01-11 00:15:00,6.065000,6.068000,6.060000
2024-01-11 00:20:00,6.053000,6.061000,6.045000
2024-01-11 00:25:00,6.045000,6.048000,6.041000
2024-01-11 00:30:00,6.040000,6.043000,6.035000
2024-01-11 00:35:00,6.030000,6.038000,6.022000
2024-01-11 00:40:00,6.014000,6.024000,6.005000
2024-01-11 00:45:00,6.000000,6.007000,5.995000
2024-01-11 00:50:00,5.994000,5.998000,5.988000
2024-01-11 00:55:00,5.988000,5.991000,5.985000
2024-01-11 01:00:00,5.985000,5.987000,5.983000
2024-01-11 01:05:00,5.985000,5.987000,5.983000
2024-01-11 01:10:00,5.984000,5.985000,5.983000
2024-01-11 01:15:00,5.983000,5.985000,5.980000
2024-01-11 01:20:00,5.976000,5.981000,5.971000
2024-01-11 01:25:00,5.968000,5.971000,5.963000
2024-01-11 01:30:00,5.954000,5.963000,5.948000
2024-01-11 01:35:00,5.946000,5.950000,5.943000
2024-01-11 01:40:00,5.944000,5.946000,5.941000
2024-01-11 01:45:00,5.941000,5.943000,5.939000
2024-01-11 01:50:00,5.938000,5.940000,5.936000
2024-01-11 01:55:00,5.933000,5.937000,5.929000
2024-01-11 02:00:00,5.929000,5.931000,5.924000
2024-01-11 02:05:00,5.920000,5.927000,5.912000
2024-01-11 02:10:00,5.907000,5.914000,5.900000
2024-01-11 02:15:00,5.897000,5.902000,5.893000
2024-01-11 02:20:00,5.890000,5.895000,5.885000
2024-01-11 02:25:00,5.879000,5.886000,5.872000
2024-01-11 02:30:00,5.866000,5.873000,5.859000
2024-01-11 02:35:00,5.856000,5.861000,5.852000
2024-01-11 02:40:00,5.846000,5.852000,5.841000
2024-01-11 02:45:00,5.840000,5.842000,5.838000
2024-01-11 02:50:00,5.838000,5.841000,5.835000
2024-01-11 02:55:00,5.833000,5.836000,5.828000
2024-01-11 03:00:00,5.825000,5.829000,5.818000
2024-01-11 03:05:00,5.813000,5.819000,5.808000
2024-01-11 03:10:00,5.802000,5.808000,5.796000
2024-01-11 03:15:00,5.790000,5.797000,5.784000
2024-01-11 03:20:00,5.778000,5.786000,5.770000
2024-01-11 03:25:00,5.765000,5.772000,5.760000
2024-01-11 03:30:00,5.757000,5.762000,5.753000
2024-01-11 03:35:00,5.752000,5.755000,5.749000
2024-01-11 03:40:00,5.746000,5.750000,5.742000
2024-01-11 03:45:00,5.737000,5.743000,5.734000
2024-01-11 03:50:00,5.735000,5.738000,5.734000
2024-01-11 03:55:00,5.736000,5.738000,5.734000
2024-01-11 04:00:00,5.737000,5.739000,5.734000
2024-01-11 04:05:00,5.740000,5.742000,5.738000
2024-01-11 04:10:00,5.739000,5.742000,5.736000
2024-01-11 04:15:00,5.736000,5.739000,5.734000
2024-01-11 04:20:00,5.733000,5.735000,5.729000
2024-01-11 04:25:00,5.729000,5.732000,5.725000
2024-01-11 04:30:00,5.724000,5.728000,5.721000
2024-01-11 04:35:00,5.721000,5.722000,5.718000
2024-01-11 04:40:00,5.719000,5.721000,5.717000
2024-01-11 04:45:00,5.718000,5.721000,5.715000
2024-01-11 04:50:00,5.716000,5.718000,5.714000
2024-01-11 04:55:00,5.715000,5.717000,5.712000
2024-01-11 05:00:00,5.712000,5.715000,5.708000
2024-01-11 05:05:00,5.709000,5.711000,5.705000
2024-01-11 05:10:00,5.702000,5.707000,5.697000
2024-01-11 05:15:00,5.693000,5.698000,5.687000
2024-01-11 05:20:00,5.684000,5.691000,5.679000
2024-01-11 05:25:00,5.680000,5.686000,5.677000
2024-01-11 05:30:00,5.674000,5.679000,5.669000
2024-01-11 05:35:00,5.670000,5.672000,5.668000
2024-01-11 05:40:00,5.672000,5.675000,5.669000
2024-01-11 05:45:00,5.675000,5.677000,5.672000
2024-01-11 05:50:00,5.677000,5.679000,5.675000
2024-01-11 05:55:00,5.676000,5.677000,5.675000
2024-01-11 06:00:00,5.676000,5.679000,5.675000
2024-01-11 06:05:00,5.677000,5.679000,5.675000
2024-01-11 06:10:00,5.675000,5.677000,5.673000
2024-01-11 06:15:00,5.674000,5.676000,5.672000
2024-01-11 06:20:00,5.674000,5.676000,5.672000
2024-01-11 06:25:00,5.676000,5.677000,5.673000
2024-01-11 06:30:00,5.680000,5.683000,5.676000
2024-01-11 06:35:00,5.681000,5.683000,5.679000
