Fecha Inicial Dato,Fecha registro mensaje,idMessage
2024-04-23 12:00:00,2024-04-23T19:13:41,7016255228111360
2024-04-23 11:00:00,2024-04-23T19:13:38,7016255216658944
2024-04-23 10:00:00,2024-04-23T19:09:32,7016254210529792
2024-04-23 08:00:00,2024-04-23T15:15:58,7016196806674944
2024-04-23 04:00:00,2024-04-23T15:13:13,7016196132030976
2024-04-23 03:00:00,2024-04-23T15:13:10,7016196120603136
2024-04-23 02:00:00,2024-04-23T15:05:13,7016194164738560
2024-04-23 01:00:00,2024-04-23T07:17:05,7016079117797888
2024-04-22 21:00:00,2024-04-23T06:32:31,7016068165630464
2024-04-23 00:00:00,2024-04-23T06:20:15,7016065150294528
2024-04-22 20:00:00,2024-04-23T05:07:30,7016047272065536
2024-04-22 19:00:00,2024-04-23T03:31:17,7016023623182848
2024-04-22 17:00:00,2024-04-23T03:31:14,7016023611259392
2024-04-22 16:00:00,2024-04-23T03:31:11,7016023599806976
2024-04-22 15:00:00,2024-04-23T03:31:08,7016023588428288
2024-04-22 13:00:00,2024-04-23T03:31:05,7016023576971776
2024-04-22 11:00:00,2024-04-22T18:49:05,7015895289305600
2024-04-22 10:00:00,2024-04-22T18:49:02,7015895277722112
2024-04-22 09:00:00,2024-04-22T15:35:37,7015847741512192
2024-04-22 08:00:00,2024-04-22T15:25:46,7015845320407552
2024-04-22 03:00:00,2024-04-22T15:25:43,7015845308938752
2024-04-22 02:00:00,2024-04-22T15:25:40,7015845297469952
2024-04-21 22:00:00,2024-04-22T09:36:09,7015759401605632
2024-04-22 01:00:00,2024-04-22T07:04:41,7015722174769664
2024-04-22 00:00:00,2024-04-22T06:32:57,7015714377009667
2024-04-21 21:00:00,2024-04-22T03:12:34,7015665129224704
2024-04-21 20:00:00,2024-04-22T02:56:30,7015661181336064
2024-04-21 19:00:00,2024-04-22T02:56:27,7015661169850880
2024-04-21 16:00:00,2024-04-22T02:55:50,7015661018774016
2024-04-21 15:00:00,2024-04-22T02:55:47,7015661007301120
2024-04-21 14:00:00,2024-04-22T02:55:45,7015660995697152
2024-04-21 13:00:00,2024-04-21T19:35:44,7015552859011584
2024-04-21 11:00:00,2024-04-21T19:18:47,7015548693252608
2024-04-21 10:00:00,2024-04-21T19:18:44,7015548681808384
2024-04-21 09:00:00,2024-04-21T15:41:59,7015495414372864
2024-04-21 06:00:00,2024-04-21T15:13:02,7015488298457600
2024-04-21 05:00:00,2024-04-21T15:12:59,7015488286943744
2024-04-21 04:00:00,2024-04-21T15:12:47,7015488234699264
2024-04-21 00:00:00,2024-04-21T06:35:47,7015361179990528
2024-04-20 19:00:00,2024-04-21T02:57:20,7015307490834944
2024-04-20 17:00:00,2024-04-21T02:57:17,7015307479349760
2024-04-20 16:00:00,2024-04-21T02:57:14,7015307467880960
2024-04-20 15:00:00,2024-04-21T02:57:11,7015307456395776
2024-04-20 13:00:00,2024-04-21T02:48:31,7015305323477504
2024-04-20 12:00:00,2024-04-20T19:11:04,7015192901859840
2024-04-20 11:00:00,2024-04-20T18:07:36,7015177303603712
2024-04-20 09:00:00,2024-04-20T15:32:55,7015139290208768
2024-04-20 07:00:00,2024-04-20T15:32:43,7015139242379776
2024-04-20 04:00:00,2024-04-20T15:32:41,7015139231025664
2024-04-20 03:00:00,2024-04-20T15:32:09,7015139101661696
2024-04-20 01:00:00,2024-04-20T07:14:39,7015016834447872
2024-04-20 00:00:00,2024-04-20T06:21:15,7015003713522176
2024-01-11 23:00:00,2024-04-20T05:25:50,7014990095018496
2024-01-11 20:00:00,2024-04-20T03:05:25,7014955584129536
2024-01-11 19:00:00,2024-04-20T03:05:13,7014955533154816
2024-01-11 17:00:00,2024-04-20T03:05:10,7014955521706496
2024-01-11 16:00:00,2024-04-20T03:05:07,7014955510249984
2024-01-11 13:00:00,2024-04-20T03:05:04,7014955498781184
2024-01-11 09:00:00,2024-04-19T15:31:21,7014785009306112
2024-01-11 08:00:00,2024-04-19T15:11:20,7014780092090880
2024-01-11 06:00:00,2024-04-19T15:11:17,7014780080683520
2024-01-11 05:00:00,2024-04-19T15:11:15,7014780069272064
2024-01-11 04:00:00,2024-04-19T15:11:12,7014780057807360
2024-01-11 03:00:00,2024-04-19T15:11:09,7014780046453248
2024-01-11 02:00:00,2024-04-19T15:11:06,7014780034865664
2024-04-18 20:00:00,2024-04-19T09:47:17,7014700451121664
2024-01-11 01:00:00,2024-04-19T07:29:45,7014666654034432
2024-01-11 00:00:00,2024-04-19T06:35:50,7014653402868224
2024-04-18 23:00:00,2024-04-19T05:05:40,7014631241890304
2024-04-18 21:00:00,2024-04-19T03:11:51,7014603270253056
2024-04-18 18:00:00,2024-04-19T02:53:17,7014598710041088
2024-04-18 17:00:00,2024-04-19T02:53:15,7014598698801664
2024-04-18 16:00:00,2024-04-19T02:53:12,7014598687140352
2024-04-18 15:00:00,2024-04-19T02:53:09,7014598675687936
2024-04-18 14:00:00,2024-04-19T02:53:06,7014598664239616
2024-04-18 13:00:00,2024-04-18T19:20:11,7014487352809984
2024-04-18 10:00:00,2024-04-18T18:10:10,7014470148196864
2024-04-18 08:00:00,2024-04-18T16:18:28,7014442694863360
2024-04-18 07:00:00,2024-04-18T16:18:25,7014442683361792
2024-04-18 06:00:00,2024-04-18T16:17:27,7014442447137280
2024-04-18 05:00:00,2024-04-18T16:13:25,7014441454553600
2024-04-18 04:00:00,2024-04-18T16:12:46,7014441293888000
2024-04-18 09:00:00,2024-04-18T16:12:43,7014441282411008
2024-04-18 03:00:00,2024-04-18T15:10:00,7014425867442688
2024-04-18 02:00:00,2024-04-18T15:09:57,7014425855838720
2024-04-18 00:00:00,2024-04-18T10:30:34,7014357195749888
2024-04-18 01:00:00,2024-04-18T07:04:54,7014306652318208
2024-04-17 20:00:00,2024-04-18T06:36:29,7014299665775104
2024-04-17 18:00:00,2024-04-18T06:36:26,7014299654044160
2024-04-17 17:00:00,2024-04-18T06:36:23,7014299642300928
2024-04-17 16:00:00,2024-04-18T06:36:20,7014299630574080
2024-04-17 15:00:00,2024-04-18T06:36:17,7014299619092992
2024-04-17 14:00:00,2024-04-18T06:36:14,7014299607616000
2024-04-17 21:00:00,2024-04-18T03:10:27,7014249031031296
2024-04-17 11:00:00,2024-04-17T19:51:32,7014141163538944
2024-04-17 13:00:00,2024-04-17T19:42:03,7014138833099264
2024-04-17 12:00:00,2024-04-17T19:01:36,7014128892811776
2024-04-17 10:00:00,2024-04-17T17:05:10,7014100278630912
2024-04-17 08:00:00,2024-04-17T15:13:47,7014072904206848
2024-04-17 07:00:00,2024-04-17T15:13:44,7014072892758528
