Fecha,Nivel de agua,Temperatura de agua,Conductividad Eléctrica,Nivel de bateria
2024-04-23 12:00:00,2.11,7.62,65.15,14.38
2024-04-23 12:05:00,2.11,7.62,65.15,14.38
2024-04-23 12:10:00,2.11,7.64,65.18,14.38
2024-04-23 12:15:00,2.1,7.65,65.22,14.38
2024-04-23 12:20:00,2.1,7.65,65.28,13.87
2024-04-23 12:25:00,2.11,7.65,65.18,13.79
2024-04-23 12:30:00,2.11,7.65,65.26,13.64
2024-04-23 12:35:00,2.11,7.65,65.39,13.56
2024-04-23 12:40:00,2.11,7.65,65.47,13.54
2024-04-23 12:45:00,2.11,7.65,65.54,13.69
2024-04-23 12:50:00,2.1,7.65,65.58,14.12
2024-04-23 12:55:00,2.1,7.65,65.65,14.38
2024-04-23 11:00:00,2.13,7.5,64.43,14.37
2024-04-23 11:05:00,2.13,7.5,64.51,14.37
2024-04-23 11:10:00,2.13,7.5,64.56,14.38
2024-04-23 11:15:00,2.13,7.51,64.61,14.37
2024-04-23 11:20:00,2.12,7.51,64.68,14.38
2024-04-23 11:25:00,2.12,7.52,64.74,14.38
2024-04-23 11:30:00,2.12,7.53,64.79,14.37
2024-04-23 11:35:00,2.12,7.55,64.85,14.38
2024-04-23 11:40:00,2.12,7.56,64.89,14.38
2024-04-23 11:45:00,2.11,7.57,64.94,14.38
2024-04-23 11:50:00,2.11,7.59,65.0,14.38
2024-04-23 11:55:00,2.11,7.6,65.04,14.38
2024-04-23 10:00:00,2.16,7.36,63.78,14.37
2024-04-23 10:05:00,2.16,7.36,63.78,14.37
2024-04-23 10:10:00,2.15,7.36,63.87,14.37
2024-04-23 10:15:00,2.15,7.37,63.91,13.77
2024-04-23 10:20:00,2.15,7.39,63.98,14.37
2024-04-23 10:25:00,2.15,7.41,64.03,14.37
2024-04-23 10:30:00,2.15,7.44,64.08,14.37
2024-04-23 10:35:00,2.14,7.45,64.17,14.38
2024-04-23 10:40:00,2.14,7.47,64.22,14.38
2024-04-23 10:45:00,2.14,7.49,64.26,14.38
2024-04-23 10:50:00,2.14,7.5,64.32,14.37
2024-04-23 10:55:00,2.14,7.5,64.36,14.37
2024-04-23 08:00:00,2.21,6.61,62.78,14.35
2024-04-23 08:05:00,2.21,6.61,62.78,14.35
2024-04-23 08:10:00,2.21,6.63,62.81,14.36
2024-04-23 08:15:00,2.21,6.65,62.87,14.37
2024-04-23 08:20:00,2.2,6.67,62.93,14.36
2024-04-23 08:25:00,2.2,6.7,62.96,14.37
2024-04-23 08:30:00,2.2,6.72,63.01,14.36
2024-04-23 08:35:00,2.2,6.74,63.05,14.37
2024-04-23 08:40:00,2.2,6.78,63.1,14.37
2024-04-23 08:45:00,2.19,6.83,63.14,14.36
2024-04-23 08:50:00,2.19,6.88,63.18,14.37
2024-04-23 08:55:00,2.19,6.93,63.19,14.38
2024-04-23 04:00:00,2.35,6.49,60.33,12.88
2024-04-23 04:05:00,2.35,6.49,60.33,12.88
2024-04-23 04:10:00,2.35,6.48,60.4,12.89
2024-04-23 04:15:00,2.35,6.48,60.46,12.89
2024-04-23 04:20:00,2.34,6.47,60.53,12.89
2024-04-23 04:25:00,2.34,6.46,60.6,12.89
2024-04-23 04:30:00,2.34,6.46,60.69,12.88
2024-04-23 04:35:00,2.34,6.45,60.76,12.89
2024-04-23 04:40:00,2.33,6.44,60.84,12.89
2024-04-23 04:45:00,2.33,6.43,60.91,12.88
2024-04-23 04:50:00,2.32,6.43,60.96,12.88
2024-04-23 04:55:00,2.32,6.42,61.03,12.88
2024-04-23 03:00:00,2.39,6.58,59.42,12.9
2024-04-23 03:05:00,2.39,6.57,59.5,12.89
2024-04-23 03:10:00,2.39,6.56,59.56,12.9
2024-04-23 03:15:00,2.38,6.54,59.62,12.91
2024-04-23 03:20:00,2.38,6.54,59.69,12.91
2024-04-23 03:25:00,2.38,6.53,59.76,12.9
2024-04-23 03:30:00,2.38,6.52,59.83,12.89
2024-04-23 03:35:00,2.37,6.52,59.9,12.9
2024-04-23 03:40:00,2.37,6.51,59.98,12.9
2024-04-23 03:45:00,2.37,6.5,60.05,12.9
2024-04-23 03:50:00,2.36,6.5,60.12,12.9
2024-04-23 03:55:00,2.36,6.49,60.19,12.89
2024-04-23 02:00:00,2.43,6.75,58.66,12.65
2024-04-23 02:05:00,2.43,6.75,58.66,12.65
2024-04-23 02:10:00,2.43,6.74,58.75,12.92
2024-04-23 02:15:00,2.43,6.72,58.83,12.92
2024-04-23 02:20:00,2.42,6.71,58.9,12.92
2024-04-23 02:25:00,2.42,6.69,58.96,12.91
2024-04-23 02:30:00,2.42,6.68,59.0,12.91
2024-04-23 02:35:00,2.41,6.66,59.06,12.92
2024-04-23 02:40:00,2.41,6.64,59.12,12.91
2024-04-23 02:45:00,2.4,6.63,59.19,12.91
2024-04-23 02:50:00,2.4,6.61,59.28,12.91
2024-04-23 02:55:00,2.4,6.59,59.35,12.91
2024-04-23 01:00:00,2.48,6.85,57.64,12.92
2024-04-23 01:05:00,2.48,6.84,57.71,12.92
2024-04-23 01:10:00,2.47,6.84,57.78,12.92
2024-04-23 01:15:00,2.47,6.84,57.87,12.67
2024-04-23 01:20:00,2.47,6.83,57.96,12.9
2024-04-23 01:25:00,2.46,6.83,58.03,12.67
2024-04-23 01:30:00,2.46,6.82,58.12,12.92
2024-04-23 01:35:00,2.46,6.81,58.19,12.92
2024-04-23 01:40:00,2.45,6.81,58.25,12.92
2024-04-23 01:45:00,2.45,6.8,58.34,12.92
2024-04-23 01:50:00,2.44,6.79,58.41,12.92
2024-04-23 01:55:00,2.44,6.78,58.49,12.92
2024-04-22 21:00:00,2.68,7.21,54.11,13.0
2024-04-22 21:05:00,2.67,7.2,54.19,12.99
2024-04-22 21:10:00,2.67,7.18,54.26,13.0
2024-04-22 21:15:00,2.66,7.16,54.37,13.0
2024-04-22 21:20:00,2.66,7.15,54.44,13.0
2024-04-22 21:25:00,2.65,7.13,54.55,13.0
2024-04-22 21:30:00,2.65,7.12,54.61,12.99
2024-04-22 21:35:00,2.65,7.11,54.68,12.99
2024-04-22 21:40:00,2.64,7.1,54.74,12.99
2024-04-22 21:45:00,2.64,7.09,54.81,12.75
2024-04-22 21:50:00,2.63,7.09,54.87,12.99
2024-04-22 21:55:00,2.63,7.07,54.98,12.98
2024-04-23 00:00:00,2.52,6.87,56.75,12.92
2024-04-23 00:05:00,2.52,6.87,56.75,12.92
2024-04-23 00:10:00,2.52,6.86,56.82,12.95
2024-04-23 00:15:00,2.52,6.86,56.9,12.95
2024-04-23 00:20:00,2.51,6.86,56.99,12.94
2024-04-23 00:25:00,2.51,6.85,57.07,12.94
2024-04-23 00:30:00,2.5,6.85,57.12,12.92
2024-04-23 00:35:00,2.5,6.85,57.21,12.94
2024-04-23 00:40:00,2.49,6.85,57.3,12.94
2024-04-23 00:45:00,2.49,6.85,57.39,12.94
2024-04-23 00:50:00,2.49,6.85,57.46,12.94
2024-04-23 00:55:00,2.48,6.85,57.55,12.94
2024-04-22 20:00:00,2.73,7.35,53.19,13.02
2024-04-22 20:05:00,2.73,7.35,53.19,13.02
2024-04-22 20:10:00,2.72,7.34,53.28,13.03
2024-04-22 20:15:00,2.72,7.33,53.36,13.03
2024-04-22 20:20:00,2.72,7.32,53.44,13.03
2024-04-22 20:25:00,2.71,7.31,53.53,13.02
2024-04-22 20:30:00,2.7,7.29,53.61,13.0
2024-04-22 20:35:00,2.7,7.28,53.69,13.02
2024-04-22 20:40:00,2.7,7.27,53.78,13.0
2024-04-22 20:45:00,2.69,7.25,53.86,13.0
2024-04-22 20:50:00,2.69,7.24,53.94,13.0
2024-04-22 20:55:00,2.68,7.23,54.01,13.0
2024-04-22 19:00:00,2.79,7.54,52.21,13.07
2024-04-22 19:05:00,2.78,7.53,52.28,13.06
2024-04-22 19:10:00,2.78,7.51,52.37,13.06
2024-04-22 19:15:00,2.77,7.49,52.46,13.06
2024-04-22 19:20:00,2.77,7.48,52.53,13.06
2024-04-22 19:25:00,2.76,7.46,52.59,13.04
